track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,album_uri,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_genre
7gaA3wERFkFkgivjwbSvkG,"yes, and?",88,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],"yes, and?",spotify:album:2B9amdrHDIKOoEiPUfZGtb,0.788,0.758,1,1,-6.513,0.0505,0.198,8.5e-05,0.104,0.823,119.008,214994,4,pop
5D34wRmbFS29AjtTOP2QJe,"yes, and?",85,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],eternal sunshine,spotify:album:5EYKrEDnKhhcNxGedaRQeK,0.785,0.766,1,1,-6.551,0.0503,0.194,7.57e-05,0.107,0.804,119.029,214994,4,pop
7BXyTc2ycXzXjAaGRTqnad,Forever and a Day,72,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm,0.436,0.467,6,1,-6.656,0.0461,0.081,0.0,0.151,0.301,80.053,225234,4,pop
5Hqo6dHSTPilabNfzZ3MyP,"yes, and?",71,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],eternal sunshine (slightly deluxe),spotify:album:5Csjy4XeA7KnizkhIvI7y2,0.785,0.761,1,1,-6.55,0.0538,0.205,4.63e-05,0.102,0.795,119.052,214994,4,pop
51eSHglvG1RJXtL3qI5trr,Slow It Down,85,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm,0.432,0.583,8,1,-4.682,0.0687,0.174,0.0,0.0933,0.544,181.489,161831,4,pop
3h76tbaYIamSeJL81X7ZwI,Cry,85,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm,0.711,0.48,10,1,-5.251,0.0365,0.104,1.55e-05,0.0894,0.352,107.948,186360,4,pop
7GUhiAHLoVy1V8ucQuZ3CB,Popular (with Playboi Carti & Madonna),83,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Highlights (Deluxe),spotify:album:18sR8zHx4zsVJUI4bHWuPC,0.854,0.668,1,1,-6.243,0.2,0.0604,8.39e-05,0.382,0.833,99.018,215467,4,pop
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,87,22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Fireworks & Rollerblades,spotify:album:168CdR21lfn0TTyw1Pkdcm,0.472,0.471,10,1,-5.692,0.0603,0.151,0.0,0.14,0.219,105.029,180304,3,pop
1EycQzSpakKNsHgMbTMMKo,The von dutch remix with addison rae and a.g. cook,74,25uiPmTg16RbhZWAqwLBy5,Charli XCX,75,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",The von dutch remix with addison rae and a.g. cook,spotify:album:5Pj0xqgA9D5lJ8ZQuAe3ft,0.669,0.778,9,1,-5.386,0.178,0.0602,0.0,0.359,0.342,137.699,157329,4,pop
11sirgYaEutV40tkvgpHN6,NEURON (with Gaeko & YOON MIRAE),86,0b1sIQumIAsNbqAoIClSpy,j-hope,75,"['k-pop', 'k-rap']",HOPE ON THE STREET VOL.1,spotify:album:5mqxdPWQirLBE7vdDMhlB4,0.669,0.9,7,1,-4.207,0.253,0.0812,0.0,0.227,0.699,93.902,273290,4,pop
